skill_type,name,alias_name,localized_name,base_value,S_A,B_C,D_E_F,G,affinity_role,is_evo,evo_parents
ius,¡Qué alegría!,,,180.0,,,,,,0,
ius,114th Time's the Charm,113転び114起き,114th Time's the Charm,180.0,,,,,,0,
ius,Adventure of 564,,,180.0,,,,,,0,
ius,Bang☆Miracle Maker!,Bang☆ミラクるわせ！,,180.0,,,,,,0,
ius,Best Day Ever,Best day ever,Best Day Ever,180.0,,,,,,0,
ius,Billions of Stars,Billions of stars,,180.0,,,,,,0,
ius,Breezy Treat,,,180.0,,,,,,0,
ius,Celeste Oath,,,180.0,,,,,,0,
ius,Cherry☆Scramble,CHERRY☆スクランブル,,180.0,,,,,,0,
ius,Circulating Love♡,,,180.0,198.0,162.0,144.0,126.0,Late,0,
ius,Crystal Mist,,,180.0,198.0,162.0,144.0,126.0,End,0,
ius,Danser le Présent,Danser le présent,,180.0,,,,,,0,
ius,Ding Dong Boo,,,180.0,,,,,,0,
ius,Break It Down!,Do Ya Breakin!,Break It Down!,180.0,,,,,,0,
ius,Every Rose Has Its Fangs,Drain for rose,Every Rose Has Its Fangs,180.0,,,,,,0,
ius,Encounter With U,,,180.0,,,,,,0,
ius,Fairy Tale,Fairy tale,Fairy Tale,180.0,,,,,,0,
ius,Faith in the Feral,,,180.0,,,,,,0,
ius,Flowering Dreams,,,180.0,,,,,,0,
ius,ForWard March!,,,180.0,,,,,Dirt,0,
ius,...found you.,…found you.,,180.0,,,,,,0,
ius,G00 1st. F∞;,G00 1stF∞|G00 1st.F∞;,G00 1st. F∞;,180.0,,,,,,0,
ius,GALmen.ふぉーえば♪,,,180.0,,,,,,0,
ius,Dancing in the Leaves,GET DOWN,Dancing in the Leaves,180.0,,,,,,0,
ius,GO! Full-send,,,180.0,,,,,,0,
ius,Go☆Go☆Goal!,Go☆Go☆for it!,Go☆Go☆Goal!,180.0,,,,,,0,
ius,Guiding Sea,,,180.0,,,,,,0,
